,registry_id,year,state,prev_yr_se_viols,prev_yr_se_hpviols,region_code,pct_white,pct_black,pct_native,pct_asian,pct_hi_pi,pct_other,earnings_median,total_population,violation
345,110000494849,2021,FL,0,0,65804,95.561378434175,2.7526335291938,0.873431792917262,2.31062410671748,0.0211741040707215,0.465830289555873,41147.0,37782,0.0
346,110070825482,2021,FL,0,0,42431,88.2850009602458,11.9416170539658,0.649126176301133,1.32513923564432,0.0038409832917226,0.964086806222393,35783.0,26035,0.0
348,110070266821,2021,CA,0,0,40218,54.6170157144102,39.0478403578587,0.461846806285764,5.8006796990734,0.151044238533709,5.87329712144538,33165.0,34427,
349,110070548697,2021,FL,0,0,64147,45.5723542116631,64.3628509719222,6.0475161987041,0.0,0.0,0.863930885529158,10938.0,463,0.0
350,110070893360,2021,FL,0,0,41071,89.3348846228427,9.63253829745976,0.620515803761877,0.998642621679271,0.0775644754702346,1.2652705061082,38758.0,20628,0.0
351,110070241568,2021,FL,0,0,82716,94.3284263380121,2.17961885199133,4.15953440602533,0.667579596028757,0.165468446878923,2.07691429875613,43090.0,17526,0.0
352,110070696608,2021,CA,0,0,33606,89.2744045160402,6.53540777456515,0.298315663867089,5.99385010785259,0.188168341823856,2.38652531093671,61675.0,21789,1.0
353,110045218171,2021,CA,0,0,40342,96.3785934635847,3.92095497831627,0.46497071578665,0.26378146376358,0.0491795949389726,1.0372423659856,37190.0,22367,0.0
354,110071146626,2021,CA,0,0,32536,81.2609243526686,16.5440429250843,1.31701963334824,3.76407463111256,1.1666192431202,3.26409495548961,41430.0,24601,1.0
355,110070518046,2021,FL,0,0,82601,96.1011394950473,1.8284054517018,3.09451105980487,1.35547776867506,0.305354881954271,1.56773665003351,41285.0,26854,0.0
356,110070566743,2021,FL,0,0,40511,61.6608976065797,31.0523357297121,1.55912546966066,2.19224283305228,0.0147924617614863,9.30445844797491,39522.0,33801,0.0
357,110070928884,2021,FL,0,0,65705,99.8541565386485,0.315994166261546,2.06611570247934,0.0,0.0,1.45843461351483,31507.0,4114,
358,110071075048,2021,FL,0,0,42715,100.0,0.0,0.0,0.0,0.0,0.0,16316.0,172,0.0
359,110070866226,2021,FL,0,0,63119,90.2168760369756,8.83799478549419,0.317018250770325,2.55688551789524,0.139251007347713,4.07975823654894,61928.0,33752,0.0
360,110070598770,2021,CA,0,0,32352,23.5157545605307,76.4179104477612,0.0,0.066334991708126,0.0,0.0,30549.0,6030,0.0
361,110070145285,2021,FL,1,0,65714,95.5447898710099,2.66004874279261,2.20828627474291,1.74760744219224,0.0,0.546870356060156,40256.0,33646,1.0
362,110071156065,2021,WY,0,0,99703,73.636073593534,18.1218759970222,3.06285228118686,3.49888333510582,0.893331915346166,6.6255450388174,45102.0,9403,0.0
363,110070938004,2021,CA,0,0,32408,92.2673791296306,4.75260751168885,1.24852283820583,4.6138827518882,0.154138622000719,1.03272876740482,34281.0,19463,1.0
364,110070793376,2021,CA,0,0,33525,89.0249299306682,7.9362737866942,0.816246250676108,0.998180655947288,0.442543147956926,4.05664552293849,35741.0,20337,0.0
365,110071066673,2021,MT,0,0,99683,97.4576271186441,0.0,16.1016949152542,0.0,0.0,0.0,27333.0,354,0.0
366,110020068807,2021,CA,2,1,34690,93.2260051024897,5.26964018650479,0.835752617225301,2.55124483152987,0.0263921879123779,3.88844901909035,29618.0,11367,
367,110032809398,2021,CA,0,0,32317,80.1653457228751,15.2842306641159,0.642251981415687,7.59087182290243,0.232303908171632,1.61246242142662,49369.0,14636,1.0
368,110071067950,2021,CA,0,0,32254,37.1279104037725,61.9068670792809,1.15679339817271,0.368405540819334,0.0589448865310934,5.6439728853522,25732.0,13572,1.0
