"registry_id","year","violation"
110000516727,2021,1
110070711582,2021,1
110070818509,2021,0
110046320352,2021,0
110070204424,2021,0
110070674780,2021,1
110070619224,2021,0
110031109164,2021,0
110070391335,2021,0
110070390063,2021,0
110070710414,2021,1
110063016490,2021,NA
110070047841,2021,0
110011107104,2021,0
110070818989,2021,0
110070387073,2021,0
110024819491,2021,1
110055689893,2021,0
110041539500,2021,0
110059701853,2021,0
110005658467,2021,1
110070162355,2021,1
110070792453,2021,0
110070599390,2021,1
110070817180,2021,1
110070793999,2021,1
110070740518,2021,1
110070686684,2021,NA
110009938871,2021,0
110064029769,2021,0
110070839514,2021,1
110070626259,2021,0
110070826531,2021,0
110070597865,2021,1
110069208832,2021,0
110070553997,2021,0
110009072270,2021,1
110070387834,2021,0
110070628046,2021,1
110070116758,2021,0
110070710826,2021,1
110070134981,2021,0
110070047545,2021,0
110070741993,2021,1
110071222058,2021,1
110020049035,2021,1
110070868127,2021,0
110070600124,2021,1
110070528686,2021,0
110070603106,2021,0
110070838549,2021,1
110070743455,2021,1
110039142950,2021,1
110069999727,2021,1
110071144487,2021,1
110071064630,2021,0
110063617634,2021,0
110071077220,2021,1
110070829463,2021,1
110070940785,2021,0
110071065776,2021,0
110070669721,2021,0
110040687575,2021,1
110070710643,2021,0
110070947518,2021,0
110070893683,2021,1
110070667986,2021,0
110070877029,2021,0
110070792358,2021,1
110071074774,2021,0
110041017841,2021,1
110070793667,2021,0
110070945877,2021,0
110070928845,2021,0
110070930748,2021,1
110057288689,2021,0
110071068145,2021,0
110070826449,2021,0
110070928148,2021,0
110070927126,2021,0
110070867334,2021,1
110030768097,2021,0
110070882245,2021,1
110070742149,2021,0
110011092227,2021,0
110070792205,2021,NA
110002531038,2021,0
110070818400,2021,NA
110070919569,2021,1
110000494849,2021,0
110070825482,2021,0
110070266821,2021,NA
110070548697,2021,0
110070893360,2021,0
110070241568,2021,0
110070696608,2021,1
110045218171,2021,0
110071146626,2021,1
110070518046,2021,0
110070566743,2021,0
110070928884,2021,NA
110071075048,2021,0
110070866226,2021,0
110070598770,2021,0
110070145285,2021,1
110071156065,2021,0
110070938004,2021,1
110070793376,2021,0
110071066673,2021,0
110020068807,2021,NA
110032809398,2021,1
110071067950,2021,1
110039796897,2021,1
110071074838,2021,0
110062642010,2021,0
110070250599,2021,0
110070072418,2021,0
110070891213,2021,0
110070892459,2021,1
110070819071,2021,NA
110071238251,2021,0
110070833368,2021,0
110070832387,2021,0
110070792855,2021,0
110070250863,2021,0
110038882938,2021,1
110070817038,2021,1
110070740892,2021,0
110070838715,2021,0
110070047869,2021,0
110070883378,2021,0
110005656762,2021,NA
110070675184,2021,1
110070696649,2021,1
110070817220,2021,0
110071177538,2021,0
110071095185,2021,0
110070604167,2021,0
110071158609,2021,0
110070557773,2021,0
110070387736,2021,0
110070946765,2021,0
110070936886,2021,0
110070704933,2021,0
110070237045,2021,0
110070686634,2021,1
110070877148,2021,0
110012965201,2021,0
110070919624,2021,NA
110070392205,2021,NA
110070946293,2021,0
110070916913,2021,0
110000508503,2021,0
