"registry_id","year","violation"
110070089714,2021,1
110009954148,2021,0
110070089965,2021,0
110070097696,2021,0
110070094258,2021,0
110002139702,2021,1
110008262334,2021,0
110012266467,2021,1
110070089192,2021,0
110070095507,2021,0
110065255057,2021,0
110070133373,2021,0
110006657215,2021,0
110070219444,2021,0
110070155149,2021,NA
110070237742,2021,0
110070094590,2021,0
110070063825,2021,NA
110070087400,2021,0
110070089211,2021,0
110002376919,2021,0
110000910649,2021,0
110054132327,2021,0
110022532749,2021,0
110070087865,2021,0
110069425143,2021,1
110070229180,2021,0
110000770522,2021,0
110070099506,2021,0
110002801077,2021,0
110070201134,2021,0
110070089102,2021,0
110030914367,2021,0
110065683068,2021,0
110008333847,2021,1
110070264427,2021,1
110070087974,2021,NA
110070104799,2021,0
110070088718,2021,0
110070213009,2021,0
110070145076,2021,1
110070503865,2021,0
110070095876,2021,0
110063877639,2021,0
110070228665,2021,0
110070095320,2021,0
110001200922,2021,0
110000588677,2021,1
110000479768,2021,0
110070091322,2021,NA
110070265863,2021,0
110070202689,2021,0
110000710375,2021,0
110070501002,2021,1
110045693692,2021,0
110070218787,2021,0
110070391227,2021,1
110070159666,2021,0
110067630175,2021,1
110070064247,2021,1
110006484054,2021,0
110070147626,2021,0
110046326944,2021,NA
110070089273,2021,1
110041093991,2021,1
110069413986,2021,0
110065570670,2021,NA
110070094358,2021,0
110059786361,2021,0
110070230994,2021,0
110065925994,2021,0
110070095559,2021,1
110070090142,2021,0
110002425750,2021,0
110070092250,2021,0
110070087635,2021,0
110065451987,2021,0
110000485190,2021,0
110070393569,2021,1
110070104787,2021,0
110070383228,2021,0
110070094139,2021,0
110043266756,2021,0
110055026396,2021,0
110065140136,2021,0
110070251181,2021,0
110055897132,2021,0
110012325536,2021,1
110070094398,2021,0
110000479330,2021,0
110070163100,2021,0
110070092994,2021,0
110001736925,2021,0
110000525539,2021,0
110000483682,2021,0
110070088739,2021,0
110055997060,2021,0
110070217835,2021,1
110002675971,2021,0
110070087658,2021,0
110070668245,2021,1
110070065624,2021,0
110070097663,2021,0
110065829740,2021,0
110002835068,2021,0
110064648421,2021,0
110070103097,2021,1
110070090401,2021,0
110070090455,2021,1
110002464887,2021,0
110070266668,2021,1
110002542847,2021,1
110064946135,2021,NA
110070554626,2021,1
110070549149,2021,1
110038334317,2021,1
110069589047,2021,0
110065369942,2021,0
110070096315,2021,0
110070213271,2021,1
110021172899,2021,0
110070520086,2021,0
110070087319,2021,0
110027970319,2021,1
110070096551,2021,1
110065246166,2021,0
110070073713,2021,1
110070393482,2021,0
110070504653,2021,1
110070094926,2021,0
110067031535,2021,0
110070094184,2021,0
110014377110,2021,1
110022573204,2021,0
110070266856,2021,0
110065198315,2021,0
110070218187,2021,1
110065848024,2021,0
110059802593,2021,0
110070391981,2021,1
110070452004,2021,0
110070249192,2021,1
110002632553,2021,0
110038053922,2021,0
110070622201,2021,1
110067377626,2021,1
110010112939,2021,1
110070792829,2021,0
110070505575,2021,0
110070094397,2021,0
110070094080,2021,0
110055735557,2021,0
110070596895,2021,1
110032729377,2021,0
110070552483,2021,1
110070093565,2021,0
110046337442,2021,1
110070085877,2021,0
110066142301,2021,0
110055863631,2021,0
110070094395,2021,0
110002408706,2021,0
110002815204,2021,0
110001190997,2021,0
110070097482,2021,0
110070087251,2021,0
110000486304,2021,1
110000481817,2021,0
110035448272,2021,0
110070617232,2021,0
110070235462,2021,0
110070087775,2021,0
110070504220,2021,0
110009074385,2021,0
110070090843,2021,0
110070544814,2021,1
110010060842,2021,0
110070089148,2021,0
110070389037,2021,0
110070087114,2021,0
110070094811,2021,0
110070546981,2021,1
110070090469,2021,0
110065764177,2021,0
110070386608,2021,1
110069479255,2021,1
110070087692,2021,1
110069321077,2021,0
110011105589,2021,0
110070617344,2021,1
110070232409,2021,0
110037091394,2021,0
110070545283,2021,1
110057122402,2021,0
110070088120,2021,0
110070088889,2021,0
110070094163,2021,0
110070548701,2021,0
110067017445,2021,1
110070554979,2021,0
110070621684,2021,0
110070546644,2021,1
110070602318,2021,0
110070825261,2021,0
110070816397,2021,0
110070621411,2021,1
110006667767,2021,0
110070603368,2021,0
110000509487,2021,1
110070160157,2021,1
110070694166,2021,1
110070670282,2021,1
110070824433,2021,1
110070867019,2021,0
110070097958,2021,1
110062638329,2021,0
110070519104,2021,1
110070391537,2021,NA
110070893101,2021,0
110070670468,2021,NA
110070686019,2021,0
110070252312,2021,0
110042788187,2021,0
110071236986,2021,0
110070393245,2021,0
110071222858,2021,NA
110070554257,2021,1
110070693546,2021,1
110070817526,2021,0
110070372784,2021,1
110070145641,2021,0
110027990912,2021,0
110011106739,2021,0
110070791891,2021,0
110035440234,2021,0
110070817826,2021,1
110070741392,2021,0
110070388991,2021,1
110070600686,2021,0
110070546325,2021,1
110070103096,2021,0
110070620765,2021,1
110070742592,2021,0
110070526807,2021,0
110070826353,2021,0
110070547030,2021,1
110070674196,2021,1
