"registry_id","year","state","prev_yr_se_viols","prev_yr_se_hpviols","region_code","pct_white","pct_black","pct_native","pct_asian","pct_hi_pi","pct_other","earnings_median","total_population"
110070089714,2021,"KY",0,0,"92065",90.0630828304992,1.54964344487109,1.32748217224355,3.81788261108064,0.501919912232584,11.4975315414152,50636,36460
110009954148,2021,"FL",5,2,"41183",95.1189749847468,4.39292251372788,0.48810250152532,0,0,0,36176,1639
110070089965,2021,"KY",0,0,"92536",88.2152330428192,2.99355816597196,2.08412277377795,1.51572565365669,5.00189465706707,8.45017051913604,38272,2639
110070097696,2021,"MO",0,0,"95602",96.4170432537121,0.710135571336346,1.42565095760706,3.29244673983215,0.462664084355498,1.77533892834087,50973,18588
110070094258,2021,"MO",0,0,"95330",52.0293824701195,7.39956839309429,5.39508632138114,29.8306772908367,1.24916998671979,15.4506972111554,44398,24096
110002139702,2021,"FL",0,0,"90066",68.6377461725374,6.76963857878371,1.88102156293011,18.4635775093032,0.548843689996771,11.9114373587535,57042,58851
110008262334,2021,"MO",0,0,"95620",77.9132305485837,2.89082108282539,1.20114736464683,5.77267837934744,0.770885622086769,18.8732520616709,42995,22312
110012266467,2021,"MO",0,0,"92807",79.4741659039854,2.05507945752558,0.85420306736556,19.3027706131958,0.274565271653216,4.93662811659317,NA,36057
110070089192,2021,"KY",0,0,"92201",55.6467129465729,6.26317976819,0.86505456616436,3.18931149660597,0.0892760940169625,42.4846460510721,31087,64967
110070095507,2021,"MO",0,0,"93010",83.0318301244778,5.78886161002714,2.29357798165138,9.74716802343111,1.04664685359866,9.02140672782875,50996,46434
110065255057,2021,"KY",0,0,"91761",61.0567675538823,6.30476597563582,2.15529287980666,7.94219672185049,1.16231278872869,34.5553783681589,40936,60827
110070133373,2021,"KY",0,0,"91311",63.5263447418144,8.64605008251417,1.84640405634881,19.5546626485853,1.15759010786635,14.4937934993184,52269,41811
110006657215,2021,"Mo",0,0,"96075",90.9348441926346,4.24929178470255,14.4475920679887,0,0,4.81586402266289,42049,353
110070219444,2021,"CA",0,0,"34109",91.7513741435133,2.36427979820797,0.165650176944507,5.33845342971162,0,2.15345230027859,45762,26562
110070155149,2021,"FL",0,0,"63401",93.3846367808632,6.44847248620834,0.973529275416068,0.834453664642344,0.213249269853043,0.477492930323119,33727,21571
110070237742,2021,"FL ",0,0,"63011",92.0317443294547,2.21191484798113,0.407528553809856,7.07544640463296,0.0857954850126012,3.30312617298515,57741,37298
110070094590,2021,"KY",0,0,"90731",66.3871211747488,7.89633795405588,3.46143094404157,7.376712216138,1.10502688569878,23.7005245588937,37250,60813
110070063825,2021,"CA",0,0,"34607",89.118393722594,6.72744057235172,1.70782367874452,0.819293791830141,0,5.41195476575121,31990,8666
110070087400,2021,"MO",0,0,"94804",43.6317567567568,23.902027027027,2.30936293436293,13.976833976834,0.936293436293436,26.0834942084942,40251,41440
110070089211,2021,"KY",0,0,"92004",89.6672504378284,2.14535901926445,0.306479859894921,0.0437828371278459,0,8.71278458844133,45487,2284
110002376919,2021,"California",1,1,"32234",91.0888030888031,6.13127413127413,1.11196911196911,1.26640926640927,0.200772200772201,3.56756756756757,40820,6475
110000910649,2021,"California",0,0,"33759",86.9311041905699,10.8124351199257,0.68841173578102,2.7154018466918,0.103808118887614,7.0316341583347,42828,18303
110054132327,2021,"FL",0,0,"64055",85.1780502043199,11.0011675423234,1.16754232340922,2.57151196730881,0.0262697022767075,4.95913601868068,37493,34260
110022532749,2021,"KY",0,0,"92504",61.227432196466,9.16649311952325,2.96365121830095,6.25570703106227,0.719286160549797,27.132627396953,36653,62423
110070087865,2021,"FL",0,0,"90064",71.5522548868709,4.18654763737109,1.33138371556103,23.4338925657996,0.465599507464984,6.01431429890719,74010,25988
110069425143,2021,"CA",0,0,"40023",91.8097493585948,6.82849812512335,0.177619893428064,1.04598381685415,0,0.315768699427669,62286,5067
110070229180,2021,"FL",0,0,"63366",92.8493698185631,5.07113036940306,0.316574662155478,2.940187174769,0,2.0023347381334,48834,50541
110000770522,2021,"KY",0,0,"92010",75.7115384615385,4.73076923076923,1.82692307692308,22.525641025641,0.115384615384615,2.53205128205128,72186,15600
110070099506,2021,"FL",0,0,"65017",99.7630331753555,0,0.4739336492891,0,0,0,19420,844
110002801077,2021,"MO",0,0,"95453",76.9381746810599,1.54340262289232,11.49076634847,4.02355250245339,0.231956463556071,10.3934338478009,36460,11209
110070201134,2021,"MO",0,0,"94587",25.2267973943277,5.78683043148121,0.964471738580202,59.0432546924747,2.35922575832257,13.8982508958664,57356,75067
110070089102,2021,"MO",0,0,"96161",93.9942498136514,0.899797678628474,0.569694388244063,2.42785645831115,0.654882334149718,5.15387072729209,55159,18782
110030914367,2021,"FL",0,0,"63670",96.0831889081456,3.11958405545927,0.415944540727903,0.667244367417678,0,0.329289428076256,NA,11540
110065683068,2021,"KY",0,0,"91803",28.3554314956967,2.10680224636959,0.804173728109527,51.0085401920713,0.169474628651181,22.5035722593294,40810,30093
110008333847,2021,"CA",0,0,"34232",93.3297638505326,3.63805444400609,0.535422420109339,2.085329425689,0.0253621146367582,3.57324015104548,38366,35486
110070264427,2021,"California",0,0,"33576",96.7641843971631,2.94769503546099,0.265957446808511,1.01950354609929,0,0.48758865248227,33611,4512
110070087974,2021,"KY",0,0,"90713",68.1884966851819,7.47177925103028,2.02831033864899,18.9535925461387,1.97814011825838,14.4884429313743,57693,27905
110070104799,2021,"FL",0,0,"63701",87.1678412947011,11.0362829548421,0.696945967110415,3.58653093187157,0.250587314017228,0.712607674236492,36241,38310
110070088718,2021,"MO",0,0,"93223",69.1108651540306,1.22671093894115,0.977679394945582,0.2029145914038,0.0368935620734182,43.027116768124,24663,10842
110070213009,2021,"CA",0,0,"34480",83.9607046710433,11.7366457280499,0.850139328389931,4.56241439569263,0,5.13389694422141,36643,21173
110070145076,2021,"CA",0,0,"32948",77.5705186533212,11.9502578101304,0,0,0,10.7825295723385,27657,6594
110070503865,2021,"FL",0,0,"90291",84.6603280592249,7.09827260850631,1.34272027870518,6.43779939033241,0.119756132965597,6.83335752649151,71125,27556
110070095876,2021,"MO",0,0,"95829",46.6429999310678,10.0193010270904,2.0162680085476,42.6966292134831,2.4470945061005,7.10346729165231,NA,29014
110063877639,2021,"FL",0,0,"64772",97.8811675803823,1.80026670617869,2.09660690472663,1.16313527930064,0.0740850496369833,0.214846643947251,33859,13498
110070228665,2021,"KY",0,0,"92040",88.7138702855129,2.33961931617906,3.54688050757843,4.56688403242862,0.975942897426859,7.22373986605569,44316,45392
110070095320,2021,"KY",0,0,"91103",41.9346424712151,17.9789097142005,1.38614599247308,11.9387412900101,0.294369713455304,32.8911577299996,NA,26837
110001200922,2021,"ky",0,0,"92368",80.3402646502836,9.73534971644612,1.22873345935728,10.586011342155,0.378071833648393,18.8090737240076,32396,1058
110000588677,2021,"CA",0,0,"32409",97.3166548976092,0.171491980227983,2.69343286593362,1.97720165439322,0.242106325027741,0.262281852113386,34473,9913
110000479768,2021,"MO",0,0,"92821",71.7680122636689,2.75677056719469,1.08073582013286,24.8773633111906,0.809913132345427,7.5447112927951,54150,39140
